marital,duration,age
1,261,56
1,149,57
1,226,37
1,151,40
1,307,56
1,198,45
1,139,59
1,217,41
0,380,24
0,50,25
1,55,41
0,222,25
0,137,29
2,293,57
1,146,35
1,174,54
1,312,35
1,440,46
1,353,50
0,195,39
1,38,30
1,262,55
0,342,55
0,181,41
1,172,37
1,99,35
1,93,59
1,233,39
0,255,54
1,362,55
1,348,46
1,386,59
1,73,49
1,230,54
2,208,54
1,336,55
1,365,34
1,1666,52
1,577,41
1,137,56
1,314,32
0,160,38
1,212,57
1,188,44
0,22,42
1,616,57
1,178,40
1,355,35
1,225,45
1,160,54
1,266,39
1,253,60
0,179,53
1,269,55
1,135,55
1,161,50
1,787,45
1,145,55
0,174,25
1,449,47
1,812,51
1,164,42
1,366,42
1,357,48
1,232,37
0,91,44
1,273,33
1,158,56
0,177,44
1,200,41
2,172,44
1,176,47
1,211,57
1,214,37
2,1575,41
1,349,55
1,337,33
1,272,55
1,208,42
1,193,50
1,212,51
1,165,38
1,1042,49
0,20,38
2,246,31
1,529,41
1,192,39
1,1467,49
1,188,34
1,180,35
1,48,57
1,213,60
1,545,33
1,583,42
1,221,45
1,426,42
2,287,53
0,197,37
1,257,44
1,229,54
1,55,49
1,400,54
2,197,52
2,190,52
0,21,43
1,300,34
1,123,35
1,293,42
1,325,43
2,514,60
1,849,58
2,194,35
1,212,55
1,337,37
1,286,36
2,247,52
2,518,57
1,364,56
2,178,48
1,98,40
2,439,49
1,139,41
1,79,45
1,175,32
1,262,42
1,61,50
2,78,31
1,102,56
1,579,41
1,143,37
1,677,41
1,267,35
1,345,37
1,185,52
2,207,39
1,69,39
1,100,56
1,125,34
1,461,45
0,240,43
1,70,56
1,193,39
1,136,53
2,73,38
1,528,42
1,541,42
0,338,35
1,163,40
1,87,51
1,301,60
1,46,56
2,52,39
1,204,56
1,155,40
1,98,36
1,71,51
1,243,51
0,186,43
1,579,59
0,165,24
0,163,37
1,46,40
1,559,42
2,2033,39
1,85,37
1,506,38
2,114,56
1,114,40
2,843,54
1,181,43
1,427,36
1,292,45
0,192,42
1,93,43
1,128,46
1,107,44
0,303,51
1,81,28
1,270,37
1,228,34
1,240,46
1,673,42
1,233,36
1,102,54
1,461,57
1,250,51
1,130,54
1,252,49
1,138,34
1,412,41
0,179,38
2,19,45
1,228,42
0,55,34
1,717,48
1,313,37
0,289,34
1,683,40
1,1077,43
1,146,33
0,167,32
1,356,39
1,277,43
1,172,44
0,218,35
0,217,35
1,67,35
0,291,36
0,248,35
0,256,36
2,286,55
1,477,59
1,611,57
1,471,39
1,381,39
0,251,30
0,408,30
1,287,50
1,322,40
1,216,35
1,366,43
0,210,36
1,288,46
1,168,40
1,132,58
1,64,42
0,209,35
1,410,43
1,177,45
1,580,39
2,165,50
2,127,32
1,357,39
1,175,52
1,300,44
1,136,56
1,125,48
1,189,33
1,213,43
1,238,57
0,124,36
1,18,34
0,730,34
1,40,30
2,181,33
0,79,32
0,142,36
0,389,36
0,702,33
2,151,40
1,211,41
1,117,51
1,232,36
1,408,28
1,370,53
1,179,58
1,46,45
1,200,43
1,50,33
1,181,33
0,119,27
1,361,42
2,73,43
1,67,42
0,350,27
0,150,34
0,332,31
2,611,54
1,58,40
1,151,52
2,89,47
1,152,49
0,611,32
0,110,49
1,463,50
1,962,34
1,102,55
0,10,47
1,118,51
1,92,47
1,143,56
1,189,53
1,75,36
2,189,42
2,55,44
1,935,39
0,56,37
1,5,60
1,225,36
2,125,42
1,286,31
2,206,53
1,164,45
0,98,37
1,446,47
2,742,49
1,120,36
2,122,35
1,362,38
0,357,38
2,200,50
1,107,59
1,267,43
1,248,42
1,215,40
1,209,46
2,205,57
1,261,42
1,83,41
2,106,54
0,106,27
1,108,36
1,214,58
1,358,40
0,453,34
2,364,33
1,136,56
1,173,42
1,241,43
0,224,54
0,148,53
0,230,42
1,199,40
1,196,54
0,111,40
0,231,26
1,316,33
1,240,35
1,669,36
0,425,29
1,121,36
1,174,35
0,88,50
1,313,46
1,135,49
0,152,42
0,402,36
1,221,55
1,213,41
1,144,57
0,158,32
1,220,49
1,325,57
2,254,58
1,503,52
2,680,50
0,421,41
1,130,33
1,164,57
1,174,48
1,113,55
1,195,38
1,347,38
1,208,53
0,404,43
0,396,36
1,98,32
1,229,33
1,350,58
2,88,40
1,379,57
1,168,45
1,190,42
1,158,46
1,210,36
1,102,41
2,306,57
1,64,49
2,218,56
1,77,37
1,54,37
0,344,46
0,195,22
1,202,43
1,286,49
1,278,41
0,189,38
1,83,33
1,18,49
0,184,30
1,235,33
0,290,34
0,133,30
1,318,59
1,437,59
1,402,41
1,501,48
0,1201,28
1,1030,44
1,149,50
1,144,35
1,69,42
1,243,45
1,769,36
1,135,56
2,231,29
1,442,41
1,199,42
0,455,52
1,152,48
1,124,31
1,424,43
1,43,36
1,154,42
2,393,52
1,203,39
1,140,36
1,326,42
1,483,41
1,259,55
1,227,30
1,576,45
1,180,51
0,90,39
1,505,47
1,245,27
0,186,34
1,208,57
1,623,43
1,180,49
1,496,39
1,118,38
1,102,49
1,342,58
1,225,43
1,185,50
1,276,31
2,87,43
1,744,43
0,262,30
0,271,27
1,141,51
1,198,37
1,150,46
1,241,35
2,196,47
1,149,46
1,264,40
1,246,26
2,309,32
1,140,45
1,175,34
1,136,47
1,1623,42
1,50,57
1,101,57
1,144,38
1,238,57
0,354,28
1,451,60
1,159,48
1,170,47
1,243,40
1,141,51
0,112,48
1,262,54
1,53,40
0,134,44
2,204,42
1,678,52
0,182,31
1,162,32
1,177,44
1,27,39
1,699,57
1,358,52
1,1677,42
0,529,42
1,310,43
2,47,31
1,379,29
2,30,57
1,472,44
1,113,59
1,114,39
1,116,57
1,448,41
0,264,37
1,169,38
1,145,42
1,288,49
1,381,54
1,176,36
0,215,32
1,278,35
1,188,45
1,174,56
1,226,34
1,111,41
1,157,41
1,46,36
0,49,32
1,374,31
1,349,38
2,325,35
1,233,53
1,531,51
1,153,56
1,80,33
1,198,33
2,568,51
1,918,39
1,82,45
0,198,40
0,211,60
1,120,33
1,269,47
1,128,48
1,166,43
